Titolo,Autore,Pagine,Codice
Indagine su Oscar Wilde,Marco Amendolara.,108 p.,8.1 16
Io sono vivo e voi siete morti,Emmanuel Carrere.,315 p.,8.1 31
L'ottocento vol.I,Guido Mazzoni.,640 p.,8.1 66
L'ottocento vol.II,Guido Mazzoni.,707 p.,8.1 67
La bellezza salverà il mondo,Tzvetan Todorov.,284 p.,8.1 130
La colomba pugnalata,Pietro Citati.,414 p.,8.1 93
La coscienza altra : Antropologia e poesia,a cura di Domenico Scafoglio.,383 p.,8.1 136
La critica letteraria in America 1900-1950,William Van O'Connor.,203 p.,8.1 105
La letteratura araba,Francesco Gabrielli.,315 p.,8.1 46 Scansionato con CamScanner
La letteratura bulgara,Lavinia Picchio Borriero.,232 p.,8.1 77
La letteratura ceca e slovacca,Bruno Meriggi.,364 p.,8.1 68
[M}-La letteratura cinese,Giuliano Bertuccioli.,470 p.,8.1 27
La letteratura del Belgio,"Antonio Mor , Jean Weisgerber.",395 p.,8.1 71
La letteratura ebraica,Franco Michelini Tocci.,237 p.,8.1 70
La letteratura egiziana,Sergio Donadoni.,298 p.,8.1 42
La letteratura etiopica,Enrico Cerulli.,249 p.,8.1 33
La letteratura francese vol.I,Giovanni Macchia.,336 p.,8.1 60
La letteratura francese vol.II,Giovanni Macchia.,536 p.,8.1 61
La letteratura giapponese e la letteratura coreana,Marcello Muccioli.,567 p.,8.1 72
La letteratura ispano americana,Giuseppe Bellini.,570 p.,8.1 24
La letteratura italiana vol.I,Giuseppe Petronio.,179 p.,8.1 111
La letteratura italiana vol.II,Giuseppe Petronio.,222 p.,8.1 112
La letteratura italiana vol.III,Giuseppe Petronio.,206 p.,8.1 113
La letteratura italiana vol.IV,Giuseppe Petronio.,,8.1 114
}-La letteratura italiana vol. V,Giuseppe Petronio.,250 p.,8.1 115
La letteratura latina medioevale,Luigi Alfonsi.,284 p.,8.1 15 Scansionato con CamScanner
La letteratura neoellenica,Bruno Lavagnini.,345 p.,8.1 54
La letteratura persiana,"Antonino Pagliaro , Alessandro Bausani.",576 p.,8.1 75
La letteratura polacca,Marina Bersano Begey.,330 p.,8.1 25
La letteratura romena,Gino Lupi.,436 p.,8.1 59
La letteratura russa moderna,Ettore Lo Gatto.,522 p.,8.1 57
La letteratura russo antica,Riccardo Picchio.,355 p.,8.1 78
La letteratura russo-sovietica,Ettore Lo Gatto.,533 p.,8.1 58
La letteratura tedesca medioevale,Carlo Grunanger.,328 p.,8.1 51
La letteratura turca,Alessio Bombaci.,528 p.,8.1 28
La letteratura ungherese,Folco Tempesti.,290 p.,8.1 87.
La musa meccanica,Marco Amendolara.,45 p.,8.1 17
La rosa dei graniti : saggi e testimonianze su Alfonso Gatto,Giuseppe Tortora.,151 p.,8.1 2
La scuola italiana sulle orme di Gianni Rodari,Gerardo Leo.,292 p.,8.1 107
Le 4 letterature della Svizzera,Guido Calgari.,486 p.,8.1 29
Le letterature antiche del vicino oriente,Giovanni Rinaldi.,338 p.,8.1 82
Le letterature del sud est asiatico,Alessandro Bausani.,440 p.,9.1 23
Le letterature della Iugoslavia,Bruno Meriggi.,617 p.,8.1 69 Scansionato con CamScanner
Le letterature della Scandinavia,Mario Gabrieli.,450 p.,8.1 45
Le origini,Antonio Viscardi.,816 p.,8.1 88
Leopardi nella critica internazionale,Mario Santoro.,300 p.,8.1 14
Letteratura dell'Italia unita 1861-1968,Gianfranco Contini.,1174 p.,8.1 92
Letteratura per l'infanzia,Vincenzo Mauro.,181 p.,8.1 120
Lezioni americane,Italo Calvino.,138 p.,8.1 30
Malombra e il fantastico,Tiziano Sandroni.,118 p.,8.1 84
Maria Alajmo e la sua vera grandezza,Alfonso Lorgio.,576 p.,8.1 128
Masuccio Salernitano,Luigi Reina.,236 p.,8.1 80
Misure critiche,"Redazione ""La Fenice"".",237 p.,8.1 116
Parnaso fiorito,Ugo Lo Bosco.,103 p.,8.1 55
Paul Valéry : giovane poeta,Giuseppe Antonio Brunelli.,232 p.,8.1 127
Peter Szondi,"Elena Agazzi , (et al).",183 p.,8.1 13
Prose e poesie scelte,Giovanni Lanzalone.,181 p.,8.1 134
Rodari nella scuola e nella cultura italiana,Gerardo Leo.,16 p.,8.1 106
"C-atulSlo, aOvidfio, fD'Aonnun,zio",Ugo Lo Bosco.,77 p.,8.1 99
Salvator Rosa e il seicento italiano,Ugo Lo Bosco.,69 p.,Scansionato con CamScanner
Scapigliatura e novecento,Giovanna Scarsi.,260 p.,8.1 86
Scritti vari,Mons.Luigi Guercio.,295 p.,8.1 135
Scritti vari,Raffaele Cantarella.,284 p.,8.1 132
Scrivere per i ragazzi,Livio Sossi.,203 p.,8.1 129
Storia della letteratura inglese : volume primo,David Daiches.,603 p.,8.1 124
Storia della letteratura inglese : volume secondo,David Daiches.,640 p.,8.1 125
Storia della letteratura inglese : volume terzo,David Daiches.,558 p.,8.1 126
Storia della letteratura italiana,Francesco De Sanctis.,,
Storia della letteratura italiana,Francesco De Sanctis.,789 p.,8.1 101
Storia della letteratura italiana : dalle origini a Dante,Enrico Malato.,525 p.,8.1 41
Storia della letteratura italiana contemporanea vol.I,Giuliano Manacorda.,506 p.,8.1 62
Storia della letteratura italiana contemporanea vol.II,Giuliano Manacorda.,1027 p.,8.1 63
Storia della letteratura .italiana vol.I,Francesco De Sanctis.,490 p.,8.1 38
Storia della letteratura italiana vol.I,Francesco De Sanctis.,490 p.,8.1 109
Storia della letteratura italiana vol.II,Francesco De Sanctis.,633 p.,8.1 39
Storia della letteratura italiana vol.II,Francesco De Sanctis.,632 p.,8.1 110
Storia delle letterature moderne d'Europa e d' America vol.I,Carlo Pellegrini.,406 p.,8.1 3 Scansionato con CamScanner
Storia delle letterature moderne d'Europa e d'America vol.II,Carlo Pellegrini.,357 p.,8.1 4
Storia delle letterature moderne d'Europa e d'America vol.III,Carlo Pellegrini.,389 p.,B.1 5
Storia delle letterature moderne d'Europa e d'America vol.IV,Carlo Pellegrini.,508 p.,8.1 6
Storia delle letterature moderne d'Europa e d'America vol.V,Carlo Pellegrini.,418 p.,8.1 7
Storia delle letterature moderne d'Europa e d'America vol.VI,Carlo Pellegrini.,556 p.,8.1 8
Storia letteraria d'Italia : Dante vol.I,"Mario Apollonio. Milano : Vallardi, 1964.",811 p.,8.1 18
)-Storia letteraria d'Italia : Dante vol.II,"Mario Apollonio. Milano : Vallardi, 1965.",829 p.,8.1 19
Storia letteraria degli Stati Uniti (bibliografia),"Robert E.Spiller , (et al).",877 p.,8.1 9
Storia letteraria degli Stati Uniti vol.II,"Robert E. Spiller , (et al).",781 p.,8.1 10
Storia letteraria degli Stati Uniti vol.III,"Robert E. Spiller , (et al).",571 p.,8.1 ll
Storia letteraria degli Stati Uniti vol.IV,"Robert E.Spiller , (et al).",488 p.,8.1 12
Un amoroso incontro della fine ottocento,Pietro Pancrazi.,207 p.,8.1 95
Un imbroglio di versi molto serio,Vincenzo Guarracino.,40 p.,8.1 133 Scansionato con CamScanner NARRATIVA ITALIANA 8.2
3012,Sebastiano Vassalli.,,8.2 442
}-45 gradi all'ombra,Orio Vergani.,245 p.,8.2 525
A casa tua ridono,Lucio Mastronardi.,,
A ciascuno il suo,Leonardo Sciascia.,,
A guerra finita,Valerio Morucci.,92 p.,8.2 299
A Milano non fa freddo,Giuseppe Marotta.,205 p.,8.2 740
A occhi aperti,"Roberto Saviano , (et al).",197 p.,8.2 606
A quale tribù appartieni?,Alberto Moravia.,290 p.,8.2 286
A viso coperto,Riccardo Gazzaniga.,532 p.,
Acab,Carlo Bonini.,,8.2 872
Accabadora,Michela Murgia.,164 p.,8.2 823
Acciaio,Silvana Avallone.,,
"Aceto, arcobaleno",Erri De Luca.,160 p.,8.2 165
Achille piè veloce,Stefano Benni.,231 p.,8.2 603
Adagio un poco mosso,Elena Gianini Belotti.,155 p.,8.2 217
Addio Tienanmen,Enzo Capuano.,91 p.,8.2 1065
Adiòs,"Renato Ghiotto.,",232 p.,8.2 216 Scansionato con CamScanner
"Agosto, moglie mia non ti conosco","Achille Campanile. Milano : Rizzoli Editore, 1974.",253 p.,8.2 765
Alcuni avranno il mio perdono,L.R.Carrino.,216 p.,8.2 1038
Alessandra,Stefano Terra.,177 p.,8.2 754
Alice & Friends,"Maria Elena Molteni , Giulia Rossi.",146 p.,((introduzione di Andrea Carugati)). 8.2 1062
Alla conquista di Rigel,Gianni Padoan.,188 p.,8.2 695
Almeno il cappello,Andrea Vitali.,405 p.,8.2 604
Alonso e i visionari,Anna Maria Ortese,246 p.,8.2 312
Altai,Wu Ming.,411 p.,8.2 528
Altri libertini,Pier Vittorio Tondelli.,195 p.,8.2 429
Amare significa..,"Italo Terzoli , Enrico Vaime.",143 p.,8.2 419
Aminanima,Ilenia Negri.,94 p.,8.2 153
Amore e ginnastica,Edmondo De Amicis.,116 p.,8.2 156
Amore e guerra nel 1999,Enrico Franceschini.,212 p.,8.2 205
Anche l'occhio vuole la sua parte,Allison.,109 p.,8.2 7
Anche le formiche nel loro piccolo si incazzano,"Gino & Michele , Matteo Molinari.",108 p.,8.2 220
Angelicamente anarchico,Don Andrea Gallo.,125 p.,8.2 618
Angelo,Luchino Visconti.,66 p.,8.2 454 Scansionato con CamScanner
Anime scalze,Fabio Geda.,224 p.,8.2 1046
Anna,Niccolò Ammaniti.,274 p.,8.2 1011
Anomalie,Mauro Covacich.,79 p.,8.2 1021
Antologia di scrittori garibaldini,Gaetano Mariani.,372 p.,8.2 722
Apparenze,Bruno Berni.,192 p.,8.2 663
Appunti partigiani,Beppe Fenoglio.,95 p.,8.2 192
Apri le porte all'alba,Elena Gianini Belotti.,252 p.,8.2 487
Arcodamore,Andrea De Carlo.,292 p.,8.2 158
Argo e il suo padrone e altri racconti,Italo Svevo.,78 p.,8.2 1010
Arrivano i NAM,Piero Colaprico.,60 p.,8.2 837
Arte della guerra,Niccolò Machiavelli.,562 p.,8.2 255
Asce di guerra,"Vitaliano Ravagli , Wu Ming.",375 p.,8.2 571
Assunta e Alessandro,Alberto Asor Rosa.,129 p.,8.2 810
Atletico Minaccia Football Club,Marco Marsullo.,212 p.,8.2 914
Attraverso il tempo,Giovanni Comisso.,228 p.,8.2 134
Avevo un appuntamento,Hugo Pratt.,393 p.,"8,2 352"
Avrei capovolto le montagne,Marcella Filippa.,251 p.,8.2 197
Avremo sempre Parigi,Serena Dandini.,429 p.,8.2 1036 Scansionato con CamScanner
Avrò cura di te,"Massimo Gramellini , Chiara Gamberale.",183 p.,8.2 965
}-Avventure in Africa,Gianni Celati.,181 p.,8.2 123
Avvertimenti contro il mal di terra,Athos Bigongiali.,95 p.,8.2 52
Baci scagliati altrove e altri racconti,Sandro Veronesi.,78 p.,8.2 1017
Bacio feroce,Roberto Saviano.,387 p.,8.2 1087
Badilate di cultura,Antoni Roberto Fraek.,155 p.,8.2 206
Bagheria,Dacia Maraini.,167 p.,8.2 265
Ballata e morte di un capitano del popolo,Luigi Compagnone.,212 p.,8.2 763
Bandidos,Enrico Caria.,122 p.,8.2 107
Baol,Stefano Benni.,152 p.,8.2 545
Bar sport duemila,Stefano Benni.,165 p.,8.2 36
Bassa intensità,Lucia Annunziata.,263 p.,8.2 13
Bastogne,Enrico Brizzi.,208 p.,8.2 65
Baudolino,Umberto Eco.,526 p.,8.2 588
Belli & perversi,Pier Vittorio Tondelli.,236 p.,8.2 434
Benvenuti in casa Esposito,Pino Imperatore.,265 p.,8.2 929
Beppe Arpia,Paolo Emiliani,436 p.,8.2 188
Berlusconi è un retrovirus,Lorenzo Miglioli.,107 p.,8.2 279 Scansionato con CamScanner
Bianca come il latte rosso come il sangue,Alessandro D'Avenia.,254 p.,8.2 927
Bisturi & diamanti,Carlo Molinari.,198 p.,8.2 1064
Blu notte,Francesca De Salvi.,106 p.,8.2 169
Blues di mezz'autunno,Santo Piazzese.,161 p.,8.2 942
Blues in sedici,Stefano Benni.,58 p.,8.2 37
Boccamurata,Simonetta Agnello Hornby.,271 p.,8.2 809
Brezza del golfo,Ugo Lo Bosco.,60 p.,8.2 517
Buddha sorride,Cesare Brandi.,84 p.,8.2 62
Bufalo matto,Max David.,,8.2 520
Buio,Dacia Maraini.,214 p.,8.2 474
Buio verde,Rocco Cotroneo.,237 p.,8.2 625
C'era una volta,"Tuccio Musumeci , Tuitto Giardina.",221 p.,8.2 581
C'era una volta,Daniel Maria Busiello.,63 p.,8.2 807
C'era una volta Macalda,Mariarosaria Palmieri.,94 p.,8.2 808
Caino il buono,Gianna Schelotto.,155 p.,8.2 378
Cambio di stagione,Gianni Riotta.,187 p.,8.2 362
Camminando,Pino Cacucci.,125 p.,8.2 75
Camminare correre volare,Sabrina Rondinelli.,153 p.,8.2 953 Scansionato con CamScanner
Campo de' Fiori,Enzo Siciliano.,198 p.,8.2 780
Canne al vento,Grazia Deledda.,234 p.,8.2 175
Canone inverso,Paolo Maurensig.,172 p.,8.2 550
Caos calmo,Sandro Veronesi.,451 p.,8.2 786
Carmela e le altre,Anna De Rosa.,,((donazione dell'autore)). 8.2 511
Cattiva stella,Giorgio Sbaraglia.,158 p.,8.2 377
Cazzi e canguri,Aldo Busi.,203 p.,8.2 70
Centomila gavette di ghiaccio,Giulio Bedeschi.,276 p.,8.2 31
Certi bambini,Diego De Silva.,151 p.,8.2 605
Certi bambini,Diego De Silva.,151 p.,8.2 605B
}]-Che la festa cominci,Niccolò Ammaniti.,320 p.,8.2 797
Chi siamo... dove andiamo...,Mario Gandolfo.,96 p.,"8.2 1019 {M]-Chiunque va a piedi è sospetto / Gian Luca Favetto. - Milano : Marcos y marcos, 1992. - 126 p. ; 18 cm. 8.2 191"
Ci siamo adottati,Mery La Rosa.,177 p.,8.2 614
Cicloneros,Saverio Tutino.,156 p.,8.2 440
Cielo fra le montagne,Ugo Lo Bosco.,112 p.,8.2 515
Cielo verde,Folco Quilici.,615 p.,8.2 624 Scansionato con CamScanner
[M)-Ciommna,Fran: Past p. È? 19 cm. R.2 792,,R.2 792
[M)}-Città all'oscuro,"m id Marzocco, 1963",206 p.,
}-City,"Alessandro Baricco ,0 — ? () p. : 19 cm. RB.2 492 |M} -Clandestinità / Antoni Boringhieri, 1993.",163 p.,"RB.2 492 |M} -Clandestinità / Antoni Boringhieri, 1993. - 163 p. B.2 297"
Cocaina,Massimo Carlotto Gianrico / ancarlo De Cataldo.,,
-Collezione di sabbia,"Italo Calvino. Mondadori, 1990.",230 p.,8.2 85
Collodoro,Salvatore Niffoi. Milano 2008 = 29 p. ?: 22 cm. 8.2 472,29 p.,8.2 472
-Colloqui con Franco,"Piero Calamandrei. Edi OT o Storia e Letteratura, 2016.",192 p.,8.2 1052
Colomba,Dacia Maraini.,,8.2 547
-Come dicevo domani,"Umberto Simonetta. Baldin G Castoldi, 1996.",359 p.,8.2 399
-Come mi batte forte il tuo cuore,Bened ta Tobagi,302 p.,", 8.2 1094"
Come il lupo,Eraldo Baldini.,235 p.,8.2 711
}-Comici spaventati guerrieri,Stefano,199 p.,8.2 38
Con le peggiori intenzioni,Alessandro Piperno.,297 p.,8.2 708
Con occhi nuovi,Alessandra Borghese.,174 p.,8.2 714
[M)-Contemplazione della morte,Gabriele D'Annunzio.,100 p.,8.2 149
Contesa per un maialino italianissimo a San Salvario,Amara Lakhous.,158 p.,8.2 935
Controluce,Mauro Marcantoni.,79 p.,8.2 577
}-Conversazioni in Sicilia,Elio Vittorini.,352 p.,8.2 455
Coriandoli nel deserto,Alessandra Arachi.,137 p.,8.2 886
Corpo di stato,Marco Baliani.,108 p.,8.2 633
}-Corto Maltese : una ballata del mare salato,Hugo Pratt.,224 p.,8.2 353
Cose e ombre di uno,Carlo Stuparich.,305 p.,8.2 408
Così si dice,Francesco Abate.,268 p.,8.2 476
Costumi degli italiani,Gianni Celati.,79 p.,8.2 694
Cristo si è fermato a Eboli,Carlo Levi.,242 p.,8.2 249
Cronache del mal d'amore,Elena Ferrante.,508 p.,8.2 903
Cronache di poveri amanti,Vasco Pratolini.,497 p.,8.2 350
Croniche epifaniche,Francesco Guccini.,179 p.,8.2 232
Cuore cavo,Viola Di Grado.,166 p.,8.2 915
Cuore di pietra,Sebastiano Vassalli.,286 p.,8.2 443 Scansionato con CamScanner
Da Quarto al Volturno,Giuseppe Cesare Abba.,181 p.,8.2 5
Da Salerno a Dachau (matricola 156421),"Enzo Todaro , Domenico Spagnuolo.",72 p.,8.2 510
Dall'Isonzo al Piave,Rino Alessi.,319 p.,8.2 719
Dalla parte di lei,Alba De Cespedes.,404 p.,8.2 161
}-Dei bambini non si sa niente,Simona Vinci.,167 p.,8.2 453
Dei doveri degli uomini,Silvio Pellico.,108 p.,8.2 579
Dei mali,Idolina Landolfi .,156 p.,8.2 660
Dell'invenzione,Alessandro Manzoni.,140 p.,8.2 573
Demasiado corazon,Pino Cacucci.,228 p.,8.2 479
Di noi tre,Andrea De Carlo.,537 p.,8.2 554
Dialoghi con Leucò,Cesare Pavese.,182 p.,8.2 329
Dialogo dei massimi sistemi,Tommaso Landolfi.,157 p.,8.2 730
Dialogo semiserio sul destino del mondo,Luigi Torino.,69 p.,8.2 656
Diario Blu,Luca Goldoni.,185 p.,8.2 602
Diario di Bulow,Arrigo Boldrini.,349 p.,8.2 1050
Diario di guerra e di prigionia : 1941-1945,Pierino Mucci.,117 p.,((introduzione di Marco Palmieri)). 8.2 1078
Diario I 1939-1941,Piero Calamandrei.,481 p.,8.2 1053 Scansionato con CamScanner
Diario II 1942-1945,Piero Calamandrei.,613 p.,8.2 1054
Diario partigiano,Ada Gobetti.,379 p.,8.2 226
Diceria dell'untore,Gesualdo Bufalino.,196 p.,8.2 69
Difesa della luna,"Guido Ceronetti,",208 p.,8.2 125
)-Dinner Party,Pier Vittorio Tondelli.,132 p.,8.2 430
}-Dita di dama,"Chiara Ingrao,",227 p.,8.2 491
Dolce per sè,Dacia Maraini.,184 p.,8.2 266
Dolore per la mia terra,Alfonso Gatto.,43 p.,8.2 211
Domani dopodomani,Renée Reggiani,234 p.,8.2 723
Domani niente scuola,Andrea Bajani.,,8.2 653
Don Camillo,Giovannino Guareschi.,259 p.,B.2 231
Donne in guerra,Dacia Maraini.,269 p.,8.2 489
Dopo l'ira,Silvano Ceccherini.,213 p.,8.2 121
Dormono sulla collina,Giacomo Di Girolamo.,1263 p.,8.2 976
Dove finisce Roma,Paola Soriga.,140 p.,8.2 855
Dove nasce l'arcobaleno,Andrea Caschetto.,229 p.,8.2 1032
Dove tornare,Fulvio Tomizza.,189 p.,8.2 767
Dove tutto è a metà,"Federico Zampaglione , Giacomo Gensini.",304 p.,8.2 1047 Scansionato con CamScanner
[M)-Droga e chewingum,Gianni Poi adoan.,333 p.,8.2 542
Due partite,Cristina Comencini.,95 p.,B.2 325
}-Durante,Andrea de Carlo.,,8.2 596
[M)-E' arrivato l'arrotino,Anna Marchesini.,154 p.,B.2 1034
}-...0 i vinti vinsero,Gaetano Vasta.,222 p.,B.2 565
[M)-E l'alluce fu,Roberto Benigni.,161 p.,B.2 34
}]-E' proibito amare,"Mario Desiati.,",91 p.,B.2 B48
}-E' stata una vertigine,Maurizio Maggiani.,117 p.,8.2 640
E tu chi eri?,Dacia Maraini.,270 p.,8.2 267
-E' una vita che ti aspetto,Fabio Volo.,172 p.,8.2 682
-Ebo e Gina,Giordano Bruno Guerri.,62 p.,8.2 846
Eccesso di zelo,Domenico Starnone.,141 p.,8.2 403
Educazione Siberiana,Nicolai Lilin.,343 p.,8.2 916
"Elena, Elena, amore mio",Luciano De Crescenzo.,293 p.,8.2 790
Elianto,Stefano Benni.,313 p.,8.2 39
-Elisir,Anna Rago,229 p.,8.2 757
Elogia alla bruttezza,Loredana Frescura.,166 p.,8.2 583
Ergastolo,Nicola Valentino.,106 p.,8.2 441 Scansionato con CamScanner
Ernesto,Umberto Saba.,,8.2 372
-Ero un bandito : Pierino Schietroma partigiano e sindaco,"Enrico Zuccaro,",174 p.,((introduzione di Mario Avagliano)). 8.2 1072
Eroi,Valerio Massimo Manfredi.,823 p.,8.2 889
Eros e Priapo,Emilio Gadda.,212 p.,8.2 208
Esilio,Enzo Bettiza.,424 p.,8.2 713
Fa così anche il lupo,Licia Giaquinto.,216 p.,8.2 219
Fai bei sogni,Massimo Gramellini.,223 p.,8.2 924
False partenze,Raffaele La Capria.,205 p.,8.2 879
Fatti e misfatti,Piero Chiara.,169 p.,8.2 563
Feria d'agosto,Cesare Pavese.,212 p.,8.2 330
Ferito a morte,Raffaele La Capria.,209 p.,8.2 734
}-Figli di un Bronx minore,Peppe Lanzetta.,132 p.,8.2 245
Fine a se stesso ovvero fuori e dentro di te,Paolo Trucillo.,85 p.,8.2 793
Fine di un incubo,Salvatore Cravotta.,121 p.,8.2 701
[M}-Fonderia Italghisa,Giuseppe Caliceti.,265 p.,8.2 84
Fontamara,Ignazio Silone.,207 p.,8.2 394
Frittura globale totale,Felice Caccamo.,124 p.,8.2 74 Scansionato con CamScanner
Fronti e frontiere,Joyce Lussu.,196 p.,8.2 523
Fughe da fermo,Edoardo Nesi.,193 p.,8.2 305
Fuori fuoco,Chiara Carminati.,198 p.,8.2 983
"Fuori piove, dentro pure, passo a prenderti?",Antonio Dikele Distefano.,184 p.,8.2 1000
Garibaldi fu ferito E noi?,Paolo Nori.,79 p.,8.2 920
Generazione McDonald's,Francesca Mazzucato.,190 p.,8.2 1063
Giochi crudeli,Claudio Lolli.,198 p.,8.2 254
Gioventù cannibale,Ammaniti.,,8.2 1
Giro di vento,Andrea De Carlo.,315 p.,8.2 704
Giulietta e Romeo,Uderzo Mario.,127 p.,8.2 771
Gli alunni del sole,Giuseppe Marotta.,263 p.,8.2 762
Gli anni al contrario,Nadia Terranova.,144 p.,8.2 950
Gli esiliati,Idolina Landolfi.,192 p.,8.2 662
Gli indifferenti,Alberto Moravia.,316 p.,8.2 287
Gli invisibili,"Nanni Balestrini,",280 p.,8.2 20
Gli ombellichi tenui,Antonio Castelli.,126 p.,8.2 118
Gli orsi,Silvia Ballestra.,153 p.,8.2 22
Gli scritti di S.Francesco D'Assisi,V.Facchinetti.,226 p.,8.2 462 Scansionato con CamScanner
Gli sdraiati,"Michele Serra,",108 p.,8.2 957
Gli sfiorati,Sandro Veronesi.,365 p.,8.2 926
Gli sguardi cattivi della gente,Claudio Piersanti.,160 p.,8.2 344
Gli uomini hanno sete,Ugo Lo Bosco.,132 p.,8.2 562
Gli zoccoli di Steinbruck : Peripezie di un bersagliere tra guerra e Lager,Pompilio Trinchieri.,164 p.,((a cura di Mario Avagliano e Marco Palmieri)). 8.2 1074
Gocce di Sicilia,Andrea Camilleri.,91 p.,8.2 795
Gomorra,Roberto Saviano.,331 p.,8.2 937
Grammatica della fantasia,Gianni Rodari.,203 p.,8.2 594
Hanno tutti ragione,Paolo Sorrentino.,319 p.,8.2 805
Happy Italy,Ilaria Rossetti.,184 p.,8.2 866
Havana Glam,Wu Ming 5.,407 p.,8.2 616
Hilarotragoedia,Giorgio Manganelli.,157 p.,8.2 261
Hitler Warhol : Experience,Lorenzo Miglioli.,121 p.,8.2 280
Ho scelto il lager : Memorie di un internato militare italiano,Aldo Lucchini.,66 p.,((a cura di Mario Avagliano e Marco Palmieri)). 8.2 1055
I barbari,Alessandro Baricco.,236 p.,8.2 759
I Baroni,Nicola Gardini.,,8.2 736 Scansionato con CamScanner
I beati Paoli vol.I,Luigi Natoli.,388 p.,8.2 303
I beati Paoli vol.II,Luigi Natoli.,405 p.,8.2 304
I bei momenti,Enzo Siciliano.,,8.2 486
I classici del pensiero italiano,Niccolò Machiavelli.,598 p.,8.2 697
I divini mondani,Ottiero Ottieri.,79 p.,8.2 1023
I figli degli emigranti,Lucio Isabella.,175 p.,8.2 946
I fioretti di S. Francesco,Mariano Da Alatri.,284 p.,8.2 670
I fioretti di S. Francesco,Mario Ruffini.,188 p.,8.2 463
I giorni dell'abbandono,Elena Ferrante.,213 p.,8.2 648
I giorni della nostra vita,Marina Sereni.,111 p.,8.2 387
I giorni della Rotonda,Silvia Ballestra.,375 p.,8.2 799
I Malavoglia,Giovanni Verga.,241 p.,8.2 551
I miei genitori non hanno figli,Marco Marsullo.,138 p.,8.2 1013
I passi della sirena,Monica Sarsini.,117 p.,8.2 376
I perché di Edda,Agata Senatore.,94 p.,8.2 521
I primi compagni del Beato Giovanni Colombini,Feo Belcari.,144 p.,8.2 575
I promessi sposi,Alessandro Manzoni.,1327 p.,8.2 488
I racconti del vulcano,"Peppe Barra , (et al).",133 p.,8.2 789 Scansionato con CamScanner
I racconti delle antiche mura,Nicola Errico.,123 p.,8.2 501
I racconti di Luigi Compagnone,Raffaele Messina.,226 p.,8.2 546
I racconti vol.I,Italo Calvino.,246 p.,8.2 87
I racconti vol.II,"Italo Calvino,",630 p.,8.2 88
I rapporti colpevoli,Fulvio Tomizza.,323 p.,8.2 425
I ricordi dell'altro ieri,Nicola Errico.,126 p.,"8,2 498"
I ricordi dell'altro ieri ( seconda parte),Nicola Errico.,169 p.,8.2 499
I ricordi dell'altro ieri (terza parte),Nicola Errico.,164 p.,8.2 500
I sansossì,Augusto Monti.,,8.2 283
I sommersi e i salvati,Primo Levi.,181 p.,8.2 251
I traditori,Giancarlo De Cataldo.,582 p.,8.2 811
I veri nomi,Andrea De Carlo.,381 p.,8.2 647
I vicerè,Federico De Roberto.,654 p.,8.2 168
Icaro,Francesco Guccini.,101 p.,8.2 615
Il bacio della medusa,Melania G. Mazzucco.,507 p.,8.2 276
Il bacio della tarantola,Giovanna Bandini.,233 p.,8.2 836
-Il bambino che guardava le donne,Gianpaolo Pansa.,436 p.,8.2 586
Il bambino che parlava con la luce,Maurizio Arduino.,287 p.,8.2 966 Scansionato con CamScanner
}-11 bambino con le braccia larghe,"Carlo Gnet Ediesse, 2010.",203 p.,
-I11 battbino indaco,Marco Franzoso.,132 p.,B.2 R69
[M)}-11 barone rampante,italo Calvino.,253 p.,B.2 956
[M)-11 bel paese,Antonio Stoppani.,663 p.,8.2 737
[M)-1l berretto di cuoio e altri racconti,Mar io Soldati.,74 p.,B.2 B9B
Il birraio di Preston,Andrea Camilleri.,236 p.,8.2 470
Il borghese stregato,Dino Buzzati.,142 p.,8.2 71
Il bosco che canta,Vincenzo Esposito.,153 p.,8.2 1057
Il bottone di Stalingrado,"Romano Bilenchi. sn rCii ren"" ze Vallecchi, 1972.",175 p.,Ba 53 AA i a
Il braccialetto,Lia Levi.,139 p.,8.2 996
Il buffo integrale,Aldo Palazzeschi.,226 p.,8.2 316
Il caffè dei miracoli,Franco Di Mare.,285 p.,8.2 967
Il campo di concentrazione,"Ottiero Ottieri. Bompiani, 1972.",266 p.,8.2 315
Il capofabbrica,Romano Bilenchi.,104 p.,8.2 54
Il cappotto del turco,"Cristina Comencini. 5) MiLlLa noENO Feltrinelli, 1997.",182 p.,8.2 131
Il cardillo addolorato,"‘Anna Maria Ortese. MMiI }L E 2 Adelphi, 1993.",415 p.,8.2 313
}-Il castello dei destini incrociati,lItalca C> alvinn o,112 p.,8.2 90 Scansionato con CamScanner
Il catino di zinco,Margaret Mazzantini.,146 p.,
Il cavaliere e la morte,Leonardo Sciascia.,91 p.,8.2 654
[M}-Il cavallo di Tripoli,P.A. Quarantotti Gambini.,242 p.,8.2 139
Il cecchino e la bambina,Franco Di Mare.,249 p.,8.2 529
Il ciclista illuminato,Roberto Piumini.,78 p.,8.2 1025
Il cigno,Sebastiano Vassalli.,182 p.,8.2 444
Il cimitero cinese,Mario Pomilio.,402 p.,8.2 349
Il cimitero di Praga,Umberto Eco.,519 p.,8.2 814
I1l circo capovolto,Milena Magnani.,166 p.,8.2 657
Il colombre,Dino Buzzati.,451 p.,8.2 738
Il compagno,Cesare Pavese.,144 p.,8.2 331
Il contrario di uno,Erri De Luca.,115 p.,8.2 685
